Id,Club Name,Country,Founding Year,Stadium,Logo,Details
1,Manchester City,England,1887,Etihad Stadium,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/1280px-Manchester_City_FC_badge.svg.png,
2,Paris Saint-Germain,France,1970,Parc des Princes,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Paris_Saint-Germain_F.C..svg/1280px-Paris_Saint-Germain_F.C..svg.png,
3,RB Leipzig,Germany,2009,Red Bull Arena,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/RB_Leipzig_2014_logo.svg/1920px-RB_Leipzig_2014_logo.svg.png,
4,Club Brugge,Belgium,1891,"	Jan Breydel Stadium",https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Club_Brugge_KV_logo.svg/1024px-Club_Brugge_KV_logo.svg.png,
5,Liverpool,England,1892,Anfield,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/1024px-Liverpool_FC.svg.png,
6,Atlético Madrid,Spain,1903,Wanda Metropolitano,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/290px-Atletico_Madrid_2017_logo.svg.png,
7,Porto,Portugal,1893,"	Estádio do Dragão",https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/FC_Porto.svg/1024px-FC_Porto.svg.png,
8,Milan,Italy,1899,San Siro,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_of_AC_Milan.svg/800px-Logo_of_AC_Milan.svg.png,
9,Ajax,Netherlands,1900,Johan Cruyff Arena,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/Ajax_Amsterdam.svg/1280px-Ajax_Amsterdam.svg.png,
10,Sporting CP,Portugal,1906,Estádio José Alvalade,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Sporting_Clube_de_Portugal_%28Logo%29.svg/1024px-Sporting_Clube_de_Portugal_%28Logo%29.svg.png,
11,Borussia Dortmund,Germany,1909,Westfalenstadion,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/1280px-Borussia_Dortmund_logo.svg.png,
12,Beşiktaş,Turkey,1903,"	Vodafone Park",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/BesiktasJK-Logo.svg/1024px-BesiktasJK-Logo.svg.png,
13,Real Madrid,Spain,1902,"	Santiago Bernabéu",https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Real_Madrid_CF.svg/1024px-Real_Madrid_CF.svg.png,
14,Inter Milan,Italy,1908,San Siro,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FC_Internazionale_Milano_2021.svg/1280px-FC_Internazionale_Milano_2021.svg.png,
15,Sheriff Tiraspol,Transnistria,1997,Sheriff Stadium,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/FC_Sheriff.svg/1024px-FC_Sheriff.svg.png,
16,Shakhtar Donetsk,Ukraine,1936,"	Donbass Arena",https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/FC_Shakhtar_Donetsk.svg/800px-FC_Shakhtar_Donetsk.svg.png,
17,Bayern Munich,Germany,1900,Allianz Arena,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/1280px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,
18,Benfica,Portugal,1904,Estádio da Luz,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/SL_Benfica_logo.svg/1280px-SL_Benfica_logo.svg.png,
19,Barcelona,Spain,1899,"	Camp Nou",https://upload.wikimedia.org/wikipedia/en/thumb/4/47/FC_Barcelona_%28crest%29.svg/1280px-FC_Barcelona_%28crest%29.svg.png,
20,Dynamo Kyiv,Ukraine,1927,"	NSC Olimpiyskiy",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/FC_Dynamo_Kyiv_logo.svg/800px-FC_Dynamo_Kyiv_logo.svg.png,
21,Manchester United,England,1878,Old Trafford,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/1280px-Manchester_United_FC_crest.svg.png,
22,Villarreal,Spain,1923,"	Estadio de la Cerámica",https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Villarreal_CF_logo-en.svg/1024px-Villarreal_CF_logo-en.svg.png,
23,Atalanta,Italy,1907,Gewiss Stadium,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/800px-AtalantaBC.svg.png,
24,Young Boys,Switzerland,1898,Wankdorf Stadium,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/BSC_Young_Boys_logo.svg/1280px-BSC_Young_Boys_logo.svg.png,
25,Lille,France,1944,"	Stade Pierre-Mauroy",https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Lille_OSC_2018_logo.svg/1920px-Lille_OSC_2018_logo.svg.png,
26,Red Bull Salzburg,Austria,1933,"Red Bull Arena, Wals-Siezenheim",https://upload.wikimedia.org/wikipedia/en/thumb/7/77/FC_Red_Bull_Salzburg_logo.svg/1280px-FC_Red_Bull_Salzburg_logo.svg.png,
27,Sevilla,Spain,1890,Estadio Ramón Sánchez Pizjuán,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Sevilla_FC_logo.svg/1024px-Sevilla_FC_logo.svg.png,
28,VfL Wolfsburg,Germany,1945,Volkswagen Arena,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/1280px-Logo-VfL-Wolfsburg.svg.png,
29,Juventus,Italy,1897,"	Juventus Stadium",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Juventus_FC_2017_icon_%28black%29.svg/800px-Juventus_FC_2017_icon_%28black%29.svg.png,
30,Chelsea,England,1905,"	Stamford Bridge",https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/1280px-Chelsea_FC.svg.png,
31,Zenit Saint Petersburg,Russia,1925,"	Krestovsky Stadium",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/FC_Zenit_1_star_2015_logo.svg/1920px-FC_Zenit_1_star_2015_logo.svg.png,
32,Malmö FF,Sweden,1910,"	Eleda Stadion",https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Malmo_FF_logo.svg/1024px-Malmo_FF_logo.svg.png,
33,Lokomotiv Moscow,Russia,1922,"	RZD Arena",https://upload.wikimedia.org/wikipedia/en/thumb/9/93/FC_Lokomotiv_Moscow_logo.svg/1280px-FC_Lokomotiv_Moscow_logo.svg.png,
34,Borussia Mönchengladbach,Germany,1900,"	Borussia-Park",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/260px-Borussia_M%C3%B6nchengladbach_logo.svg.png,
35,Olympiacos,Greece,1925,Karaiskakis Stadium,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Olympiacos_FC_logo.svg/340px-Olympiacos_FC_logo.svg.png,
36,Olympique de Marseille,France,1899,Stade Vélodrome,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Olympique_Marseille_logo.svg/1024px-Olympique_Marseille_logo.svg.png,
37,Midtjylland,Denmark,1999,MCH Arena,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/FC_Midtjylland_logo.svg/1280px-FC_Midtjylland_logo.svg.png,
38,Krasnodar,Russia,2008,"	Krasnodar Stadium",https://upload.wikimedia.org/wikipedia/en/thumb/3/30/FC_Krasnodar_logo.svg/1280px-FC_Krasnodar_logo.svg.png,
39,Stade Rennais,France,1901,Roazhon Park,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Stade_Rennais_FC.svg/1280px-Stade_Rennais_FC.svg.png,
40,Lazio,Italy,1900,"	Stadio Olimpico",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/S.S._Lazio_badge.svg/1920px-S.S._Lazio_badge.svg.png,
41,Ferencvárosi TC,Hungary,1899,Ferencváros Stadion,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ferencv%C3%A1rosiTClog%C3%B3.png/1024px-Ferencv%C3%A1rosiTClog%C3%B3.png,
42,İstanbul Başakşehir,Turkey,1990,"	Fatih Terim Stadium",https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_logo.svg/1024px-%C4%B0stanbul_Ba%C5%9Fak%C5%9Fehir_logo.svg.png,
43,Galatasaray,Turkey,1905,"	Nef Stadium",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Galatasaray_4_Sterne_Logo.svg/1024px-Galatasaray_4_Sterne_Logo.svg.png,
44,Tottenham Hotspur,England,1882,"	Tottenham Hotspur Stadium",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/800px-Tottenham_Hotspur.svg.png,
45,Red Star Belgrade,Serbia,1945,"	Rajko Mitić Stadium",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Grb-fk-crvena-zvezda.svg/800px-Grb-fk-crvena-zvezda.svg.png,
46,GNK Dinamo Zagreb,Croatia,1945,Stadion Maksimir,https://upload.wikimedia.org/wikipedia/en/2/21/GNK_Dinamo_Zagreb_badge_in_2019_%282%29.png,
47,Bayer 04 Leverkusen,Germany,1904,"	BayArena",https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/1920px-Bayer_04_Leverkusen_logo.svg.png,
48,Napoli,Italy,1926,Stadio Diego Armando Maradona,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/SSC_Neapel.svg/1280px-SSC_Neapel.svg.png,
49,Genk,Belgium,1988,"	Luminus Arena",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/KRC_Genk_Logo_2016.svg/1024px-KRC_Genk_Logo_2016.svg.png,
50,Slavia Prague,Czech Republic,1892,"	Sinobo Stadium",https://upload.wikimedia.org/wikipedia/en/thumb/2/20/Logo_of_SK_Slavia_Praha.svg/1280px-Logo_of_SK_Slavia_Praha.svg.png,
51,Olympique Lyonnais,France,1899,"	Groupama Stadium",https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Olympique_Lyonnais.svg/1280px-Olympique_Lyonnais.svg.png,
52,Valencia,Spain,1919,"	Mestalla",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Valenciacf.svg/1024px-Valenciacf.svg.png,
53,Monaco,France,1924,Stade Louis II,https://upload.wikimedia.org/wikipedia/en/d/d1/AS_Monaco_FC_logo.png,
54,PSV Eindhoven,Netherlands,1913,"	Philips Stadion",https://upload.wikimedia.org/wikipedia/en/thumb/0/05/PSV_Eindhoven.svg/1920px-PSV_Eindhoven.svg.png,
55,Schalke 04,Germany,1904,"	Veltins-Arena",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/1280px-FC_Schalke_04_Logo.svg.png,
56,AEK Athens,Greece,1924,Athens Olympic Stadium,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/AEK_Athens_FC_logo.svg/1024px-AEK_Athens_FC_logo.svg.png,
57,Hoffenheim,Germany,1899,Rhein-Neckar-Arena,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/1280px-Logo_TSG_Hoffenheim.svg.png,
58,Roma,Italy,1927,Stadio Olimpico,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/AS_Roma_logo_%282017%29.svg/1024px-AS_Roma_logo_%282017%29.svg.png,
59,Viktoria Plzeň,Czech Republic,1911,Doosan Arena,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Viktoria_Plzen_logo.svg/1024px-Viktoria_Plzen_logo.svg.png,
60,CSKA Moscow,Russia,1911,VEB Arena,https://upload.wikimedia.org/wikipedia/en/thumb/2/26/PFK_CSKA_Logo.svg/1024px-PFK_CSKA_Logo.svg.png,
61,Basel,Switzerland,1893,"	St. Jakob-Park",https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/FC_Basel_crest.svg/1280px-FC_Basel_crest.svg.png,
62,Celtic,Scotland,1887,"	Celtic Park",https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Celtic_FC.svg/360px-Celtic_FC.svg.png,
63,Anderlecht,Belgium,1908,"	Lotto Park",https://upload.wikimedia.org/wikipedia/en/thumb/7/71/RSC_Anderlecht_logo.svg/360px-RSC_Anderlecht_logo.svg.png,
64,Qarabağ,Azerbaijan,1987,Azersun Arena,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Qaraba%C4%9F_FK_logo.svg/1024px-Qaraba%C4%9F_FK_logo.svg.png,
65,Maribor,Slovenia,1960,Ljudski vrt,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/NK_Maribor.svg/1280px-NK_Maribor.svg.png,
66,Feyenoord,Netherlands,1908,"	De Kuip",https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Feyenoord_logo.svg/1280px-Feyenoord_logo.svg.png,
67,APOEL,Cyprus,1926,"	GSP Stadium",https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/APOEL_FC_logo.svg/1024px-APOEL_FC_logo.svg.png,
